Entity,Relationship,Field,Label,DataType,EnumValues,Source,SNAP,Medicaid (MAGI),Medicaid (Non-MAGI),TANF,SSI,WIC,CHIP,Section 8 Housing,LIHEAP,Summer EBT,Policy/Statute,Notes,OBBBA (H.R.1),Application/Enrollment
Application,1 per submission,,,,,,,,,,,,,,,,,,,
Application,,id,Application ID,uuid,,system,,,,,,,,,,,,,,
Application,,applicationDate,Application Date,date,,system,Required,,,,,,,,,,7 CFR 273.2(b) (SNAP); 42 CFR 435.912 (Medicaid); 45 CFR 206.10 (TANF),Date the application is received. SNAP: determines first-month proration and 30-day processing deadline. Medicaid: 45-day processing standard (90 days for disability). All programs have federally mandated processing timeframes.,,Required
Application,,programsAppliedFor,Programs Applied For,enum[],SNAP|Medicaid_MAGI|Medicaid_NonMAGI|TANF|SSI|WIC|CHIP|Section_8_Housing|LIHEAP|Summer_EBT,applicant,,,,,,,,,,,,Which programs the applicant is requesting. Multi-program applications common in integrated eligibility systems.,,Required
Application,,isExpedited,Expedited Processing Requested/Needed,boolean,,derived,Required,,,,,,,,,,7 CFR 273.2(i),"SNAP: households with less than $150 monthly gross income and $100 in liquid resources, or destitute migrant/seasonal farmworkers, must receive benefits within 7 days. States must screen for expedited at application.",,Required
Application,,signatureOfApplicant,Applicant Signature Obtained,boolean,,applicant,,,,,,,,,,,7 CFR 273.2(c)(7) (SNAP); 42 CFR 435.907(f) (Medicaid),All programs require applicant signature or mark attesting to the truthfulness of information provided.,,Required
Application,,signatureDate,Signature Date,date,,applicant,,,,,,,,,,,,,,Required
Application,,signatureMethod,Signature Method,enum,in_person|electronic|telephonic|mark,applicant,,,,,,,,,,,42 CFR 435.907(f) (Medicaid allows telephonic/electronic),Medicaid and SNAP accept electronic and telephonic signatures. Some programs accept a mark with a witness.,,Required
Application,,rightsAndResponsibilitiesAcknowledged,Rights and Responsibilities Acknowledged,boolean,,applicant,,,,,,,,,,,7 CFR 273.2(e)(2) (SNAP),"Applicant acknowledges program rights (e.g., fair hearing, nondiscrimination) and responsibilities (e.g., reporting changes, providing verification).",,Required
Application,,penaltyOfPerjuryAcknowledged,Penalty of Perjury Acknowledged,boolean,,applicant,,,,,,,,,,,7 CFR 273.2(c)(7) (SNAP),Applicant attests under penalty of perjury that information provided is true and complete.,,Required
Application,,consentToVerifyInformation,Consent to Verify Information,boolean,,applicant,,,,,,,,,,,,"Authorization for agency to contact employers, financial institutions, government agencies, and other sources to verify information provided.",,Required
Application,,consentToShareData,Consent to Share Data Between Programs,boolean,,applicant,,,,,,,,,,,,Authorization to share applicant data across programs for integrated eligibility processing. Enables single-application multi-program determination.,,Required
